the
and
that
i
h1
h2
h3
h4
h5
h6
span
b
p
dd
ol
lu
li
ul
select
segoe
go
dl
blockquote
pre
button
input
select
ui"
segoe"
"open
sans"
"helvetica
neue"
formmargin0menu
"segoe
solid
arial
helvetica
want
but
or
of
if
be
can
do
could
has
have
at
was
were
from
when
with
than
because
while
where
although
whether
though
before
since
so
until
after
for
nor
unless
once
except
whereas
whilst
like
till
and/or
albeit
cos
lest
immediately
whereupon
now
afore
plus
iff
tho'
dat
notwithstanding
whereat
cept
inasmuch
til
save
ne
only
altho'
then
altho
forwhy
tofore
so that
vedder
lak
whilest
whyle
whylest
whylst
allthough
coz
forcause
whilom
without
cus
coz
whilome
sence
in order that
quus
how
precisely unless
when
such that
whenas
having said that
in addition to
b'cause
whence
OR
along with
whenever
other
much less
fur
sith
less'n
but if
only for
bcos
eef
bcoz
but then
only if
soe
bekase
sithe
the way
forthy
sithen
only to
albe
sithence
caze
thy
unlesse
unlessen
even if
unlesss
to say nothing of
quhair
not
nay
quhar
in regard
andt
in case
quher
even though
inasfar as
like as
inasmuch as
let alone
like as and
like as if
wherealong
let along
both
fi
yet
whereäs
becos
and if
where'er
yt
howbeit
becoz
choose
bothe
wai
wherefore
on account
cum
on account of
in so far as
rather than
wherein
a.
whereinafter
albethey
whereinbefore
tho
provided that
beway
hyphen
thô
beways
whereof
et
whereout
whereover
buuut
thof
wheresoe'er
for that
wheresoeer
wheresoever
if and only if
if and when
wherethan
all
wheretoward
however
yf
in that
whereunto
either
directly
wherever
sobeit
thou
bycause
versus
as a result
to-whiles
wythowt
whethersoever
wythowte
thereas
if so be
in the event
for to
in the event that
unto
enaunter
outstep
insofar as
not to mention
not to say
for-than
as if
xor
nather
howsomever
twell
thanne
an if
given that
now that
as long as
ifen
else
forasmuch as
cuz
cuz
ever since
iffen
bolth
just as soon as
nought withstanding
outcept
ergo
as soon as
nought-withstanding
if'n
yea
just in case
slash
nd
noughtwithstanding
zat
therfore
bicause
as though
as well as
against
followed by
forthan
neither
wen
when as
while one is about it
while one is at it
being that
not
so
up
outside
then
now
only
just
very
how
even
on
down
back
there
still
here
too
where
however
again
in
over
never
why
away
off,
really
about
always
when
rather
quite
right
much
often
yet
perhaps
already
far
almost
together
once
ever
probably
today
actually
all
enough
therefore
particularly
either
around
thus
sometimes
else
soon
yesterday
long
usually
indeed
home
certainly
especially
simply
clearly
instead
little
before
round
forward
forward
please
finally
recently
quickly
along
anyway
generally
nearly
suddenly
obviously
okay
exactly
no
maybe
immediately
apart
easily
though
above
through
highly
tomorrow
eventually
fully
like
below
otherwise
directly
slightly
ahead
hardly
completely
normally
relatively
apparently
merely
early
slowly
largely
alone
currently
nevertheless
possibly
mainly
carefully
hard
previously
entirely
extremely
somewhere
fairly
tonight
increasingly
straight
equally
twice
surely
frequently
totally
absolutely
necessarily
elsewhere
partly
seriously
widely
properly
under
closely
neither
outside
etc
that
effectively
pretty
inside
e.g.
meanwhile
hence
unfortunately
strongly
somewhat
rapidly
similarly
originally
afterwards
o'clock
virtually
perfectly
somehow
moreover
fast
badly
significantly
naturally
rarely
late
anywhere
heavily
abroad
occasionally
quietly
regularly
firmly
mostly
initially
gently
shortly
aside
specifically
subsequently
essentially
gradually
deeply
